pokemon_id,pokemon_name,family_id,stage_id,branch
1,Bulbasaur,1,1,1
2,Ivysaur,1,2,1
3,Venusaur,1,3,1
4,Charmander,2,1,1
5,Charmeleon,2,2,1
6,Charizard,2,3,1
7,Squirtle,3,1,1
8,Wartortle,3,2,1
9,Blastoise,3,3,1
10,Caterpie,4,1,1
11,Metapod,4,2,1
12,Butterfree,4,3,1
13,Weedle,5,1,1
14,Kakuna,5,2,1
15,Beedrill,5,3,1
16,Pidgey,6,1,1
17,Pidgeotto,6,2,1
18,Pidgeot,6,3,1
19,Rattata,7,1,1
20,Raticate,7,2,1
21,Spearow,8,1,1
22,Fearow,8,2,1
23,Ekans,9,1,1
24,Arbok,9,2,1
25,Pikachu,10,1,1
26,Raichu,10,2,1
27,Sandshrew,11,1,1
28,Sandslash,11,2,1
29,Nidoran♀,12,1,1
30,Nidorina,12,2,1
31,Nidoqueen,12,3,1
32,Nidoran♂,13,1,1
33,Nidorino,13,2,1
34,Nidoking,13,3,1
35,Clefairy,14,1,1
36,Clefable,14,2,1
37,Vulpix,15,1,1
38,Ninetales,15,2,1
39,Jigglypuff,16,1,1
40,Wigglytuff,16,2,1
41,Zubat,17,1,1
42,Golbat,17,2,1
43,Oddish,19,1,1
44,Gloom,19,2,1
45,Vileplume,19,3,1
46,Paras,20,1,1
47,Parasect,20,2,1
48,Venonat,21,1,1
49,Venomoth,21,2,1
50,Diglett,22,1,1
51,Dugtrio,22,2,1
52,Meowth,23,1,1
53,Persian,23,2,1
54,Psyduck,25,1,1
55,Golduck,25,2,1
56,Mankey,26,1,1
57,Primeape,26,2,1
58,Growlithe,27,1,1
59,Arcanine,27,2,1
60,Poliwag,28,2,1
61,Poliwhirl,29,2,1
62,Poliwrath,29,3,1
63,Abra,30,1,1
64,Kadabra,30,2,1
65,Alakazam,30,3,1
66,Machop,31,1,1
67,Machoke,31,2,1
68,Machamp,31,3,1
69,Bellsprout,32,1,1
70,Weepinbell,32,2,1
71,Victreebel,32,3,1
72,Tentacool,33,1,1
73,Tentacruel,33,2,1
74,Geodude,34,1,1
75,Graveler,34,2,1
76,Golem,34,3,1
77,Ponyta,35,1,1
78,Rapidash,35,2,1
79,Slowpoke,18,1,1
80,Slowbro,18,2,1
81,Magnemite,37,1,1
82,Magneton,37,2,1
83,Farfetch'd,38,1,1
84,Doduo,39,1,1
85,Dodrio,39,2,1
86,Seel,40,1,1
87,Dewgong,40,2,1
88,Grimer,41,1,1
89,Muk,41,2,1
90,Shellder,42,1,1
91,Cloyster,42,2,1
92,Gastly,43,1,1
93,Haunter,43,2,1
94,Gengar,43,3,1
95,Onix,44,1,1
96,Drowzee,45,1,1
97,Hypno,45,2,1
98,Krabby,23,1,1
99,Kingler,23,2,1
100,Voltorb,46,1,1
101,Electrode,46,2,1
102,Exeggcute,47,1,1
103,Exeggutor,47,2,1
104,Cubone,48,1,1
105,Marowak,48,2,1
106,Hitmonlee,49,1,1
107,Hitmonchan,49,1,2
108,Lickitung,50,1,1
109,Koffing,51,1,1
110,Weezing,51,2,1
111,Rhyhorn,52,1,1
112,Rhydon,52,2,1
113,Chansey,28,1,1
114,Tangela,53,1,1
115,Kangaskhan,54,1,1
116,Horsea,55,1,1
117,Seadra,55,2,1
118,Goldeen,56,1,1
119,Seaking,56,2,1
120,Staryu,57,1,1
121,Starmie,57,2,1
122,Mr. Mime,58,1,1
123,Scyther,59,1,1
124,Jynx,60,1,1
125,Electabuzz,61,1,1
126,Magmar,62,1,1
127,Pinsir,63,1,1
128,Tauros,64,1,1
129,Magikarp,65,1,1
130,Gyarados,65,2,1
131,Lapras,66,1,1
132,Ditto,67,1,1
133,Eevee,36,1,1
134,Vaporeon,36,2,1
